Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
Effect of an Intensive Lifestyle Intervention on Glycemic Control in Patients With Type 2 Diabetes: A Randomized Clinical Trial.,"['Johansen, Mette Yun', 'MacDonald, Christopher Scott', 'Hansen, Katrine Bagge', 'Karstoft, Kristian', 'Christensen, Robin', 'Pedersen, Maria', 'Hansen, Louise Seier', 'Zacho, Morten', 'Wedell-Neergaard, Anne-Sophie', 'Nielsen, Signe Tellerup', 'Iepsen, Ulrik Wining', 'Langberg, Henning', 'Vaag, Allan Arthur', 'Pedersen, Bente Klarlund', 'Ried-Larsen, Mathias']","Johansen, Mette Yun",Kobenhavns Universitet,"Ried-Larsen, Mathias",Kobenhavns Universitet,,13,"Importance: It is unclear whether a lifestyle intervention can maintain glycemic control in patients with type 2 diabetes. Objective: To test whether an intensive lifestyle intervention results in equivalent glycemic control compared with standard care and, secondarily, leads to a reduction in glucose-lowering medication in participants with type 2 diabetes. Design, Setting, and Participants: Randomized, assessor-blinded, single-center study within Region Zealand and the Capital Region of Denmark (April 2015-August 2016). Ninety-eight adult participants with non-insulin-dependent type 2 diabetes who were diagnosed for less than 10 years were included. Participants were randomly assigned (2:1; stratified by sex) to the lifestyle group (n = 64) or the standard care group (n = 34). Interventions: All participants received standard care with individual counseling and standardized, blinded, target-driven medical therapy. Additionally, the lifestyle intervention included 5 to 6 weekly aerobic training sessions (duration 30-60 minutes), of which 2 to 3 sessions were combined with resistance training. The lifestyle participants received dietary plans aiming for a body mass index of 25 or less. Participants were followed up for 12 months. Main Outcomes and Measures: Primary outcome was change in hemoglobin A1c (HbA1c) from baseline to 12-month follow-up, and equivalence was prespecified by a CI margin of +/-0.4% based on the intention-to-treat population. Superiority analysis was performed on the secondary outcome reductions in glucose-lowering medication. Results: Among 98 randomized participants (mean age, 54.6 years [SD, 8.9]; women, 47 [48%]; mean baseline HbA1c, 6.7%), 93 participants completed the trial. From baseline to 12-month follow-up, the mean HbA1c level changed from 6.65% to 6.34% in the lifestyle group and from 6.74% to 6.66% in the standard care group (mean between-group difference in change of -0.26% [95% CI, -0.52% to -0.01%]), not meeting the criteria for equivalence (P = .15). Reduction in glucose-lowering medications occurred in 47 participants (73.5%) in the lifestyle group and 9 participants (26.4%) in the standard care group (difference, 47.1 percentage points [95% CI, 28.6-65.3]). There were 32 adverse events (most commonly musculoskeletal pain or discomfort and mild hypoglycemia) in the lifestyle group and 5 in the standard care group. Conclusions and Relevance: Among adults with type 2 diabetes diagnosed for less than 10 years, a lifestyle intervention compared with standard care resulted in a change in glycemic control that did not reach the criterion for equivalence, but was in a direction consistent with benefit. Further research is needed to assess superiority, as well as generalizability and durability of findings. Trial Registration: clinicaltrials.gov Identifier: NCT02417012.",JAMA,2017 Aug 15,
Characteristics of Preapproval and Postapproval Studies for Drugs Granted Accelerated Approval by the US Food and Drug Administration.,"['Naci, Huseyin', 'Smalley, Katelyn R', 'Kesselheim, Aaron S']","Naci, Huseyin",London School of Economics and Political Science,"Kesselheim, Aaron S",Brigham and Women's Hospital,,37,"Importance: Drugs treating serious or life-threatening conditions can receive US Food and Drug Administration (FDA) accelerated approval based on showing an effect in surrogate measures that are only reasonably likely to predict clinical benefit. Confirmatory trials are then required to determine whether these effects translate to clinical improvements. Objective: To characterize preapproval and confirmatory clinical trials of drugs granted accelerated approval. Design and Setting: Publicly available FDA documents were reviewed to identify the preapproval trials leading to accelerated approval between 2009 and 2013. Information on the status and findings of required confirmatory studies was extracted from the FDA's database of postmarketing requirements and commitments, ClinicalTrials.gov, and matched peer-reviewed publications. Follow-up ended on April 7, 2017. Exposures: Granting of accelerated approval. Main Outcomes and Measures: Characteristics of preapproval and confirmatory studies were compared in terms of study design features (randomization, blinding, comparator, primary end point). Subsequent regulatory decisions and estimated time between accelerated approval and fulfillment of regulatory requirements were summarized. Results: The FDA granted accelerated approval to 22 drugs for 24 indications (19 for indications involving cancer treatment) between 2009 and 2013. A total of 30 preapproval studies supported the 24 indications. The median number of participants enrolled in the preapproval studies was 132 (interquartile range, 89-224). Eight studies (27%) included fewer than 100 participants and 20 (67%) included fewer than 200. At a minimum 3 years of follow-up, 19 of 38 (50%) required confirmatory studies were completed, including 18 published reports. Twenty-five of the 38 (66%) examined clinical efficacy, 7 (18%) evaluated longer follow-up, and 6 (16%) focused on safety The proportion of studies with randomized designs did not differ before and after accelerated approval (12/30 [40%] vs 10/18 [56%]; difference, 16%; 95% CI, -15% to 46%; P = .31). Postapproval requirements were completed and demonstrated efficacy in 10 of 24 indications (42%) on the basis of trials that evaluated surrogate measures. Among the 14 of 24 indications (58%) that had not yet completed all requirements, at least 1 of the confirmatory studies failed to demonstrate clinical benefit in 2 (8%), were terminated in 2 (8%), and were delayed by more than 1 year in 3 (13%). Studies were progressing according to target timelines for the remaining 7 indications (29%). Clinical benefit had not yet been confirmed for 8 indications that had been initially approved 5 or more years prior. Conclusions and Relevance: Among 22 drugs with 24 indications granted accelerated approval by the FDA in 2009-2013, efficacy was often confirmed in postapproval trials a minimum of 3 years after approval, although confirmatory trials and preapproval trials had similar design elements, including reliance on surrogate measures as outcomes.",JAMA,2017 Aug 15,
Characteristics of Clinical Studies Used for US Food and Drug Administration Approval of High-Risk Medical Device Supplements.,"['Zheng, Sarah Y', 'Dhruva, Sanket S', 'Redberg, Rita F']","Zheng, Sarah Y","University of California, San Francisco","Redberg, Rita F",UCSF School of Medicine,,53,"Importance: High-risk medical devices often undergo modifications, which are approved by the US Food and Drug Administration (FDA) through various kinds of premarket approval (PMA) supplements. There have been multiple high-profile recalls of devices approved as PMA supplements. Objective: To characterize the quality of the clinical studies and data (strength of evidence) used to support FDA approval of panel-track supplements (a type of PMA supplement pathway that is used for significant changes in a device or indication for use and always requires clinical data). Design and Setting: Descriptive study of clinical studies supporting panel-track supplements approved by the FDA between April 19, 2006, and October 9, 2015. Exposure: Panel-track supplement approval. Main Outcomes and Measures: Methodological quality of studies including randomization, blinding, type of controls, clinical vs surrogate primary end points, use of post hoc analyses, and reporting of age and sex. Results: Eighty-three clinical studies supported the approval of 78 panel-track supplements, with 71 panel-track supplements (91%) supported by a single study. Of the 83 studies, 37 (45%) were randomized clinical trials and 25 (30%) were blinded. The median number of patients per study was 185 (interquartile range, 75-305), and the median follow-up duration was 180 days (interquartile range, 84-270 days). There were a total of 150 primary end points (mean [SD], 1.8 [1.2] per study), and 57 primary end points (38%) were compared with controls. Of primary end points with controls, 6 (11%) were retrospective controls and 51 (89%) were active controls. One hundred twenty-one primary end points (81%) were surrogate end points. Thirty-three studies (40%) did not report age and 25 (30%) did not report sex for all enrolled patients. The FDA required postapproval studies for 29 of 78 (37%) panel-track supplements. Conclusions and Relevance: Among clinical studies used to support FDA approval of high-risk medical device modifications, fewer than half were randomized, blinded, or controlled, and most primary outcomes were based on surrogate end points. These findings suggest that the quality of studies and data evaluated to support approval by the FDA of modifications of high-risk devices should be improved.",JAMA,2017 Aug 15,
Bezlotoxumab (Zinplava) for Prevention of Recurrent Clostridium Difficile Infection.,,,,,,,,,JAMA,2017 Aug 15,
Maternal Antidepressant Use and Pregnancy Outcomes.,"[""D'Onofrio, Brian M"", 'Sujan, Ayesha C']","D'Onofrio, Brian M",Indiana University,"Sujan, Ayesha C",Indiana University,,3,,JAMA,2017 Aug 15,
Alveolar Recruitment Strategies After Cardiac Surgery-Reply.,"['Amato, Marcelo B P', 'Volpe, Marcia S', 'Hajjar, Ludhmila A']","Amato, Marcelo B P",Universidade de Sao Paulo - USP,"Hajjar, Ludhmila A",Instituto do Coracao do Hospital das Clinicas,,18,,JAMA,2017 Aug 15,
Prenatal Antidepressant Use and Autism Spectrum Disorder-Reply.,"['Vigod, Simone N', 'Gomes, Tara', 'Ray, Joel G']","Vigod, Simone N",University of Toronto,"Ray, Joel G",University of Toronto,,49,,JAMA,2017 Aug 15,
Maternal Antidepressant Use and Pregnancy Outcomes.,"['Yonkers, Kimberly Ann', 'Forray, Ariadna', 'Smith, Megan V']","Yonkers, Kimberly Ann",Yale University School of Medicine,"Smith, Megan V",Yale Child Study Center,,15,,JAMA,2017 Aug 15,
Alveolar Recruitment Strategies After Cardiac Surgery.,"['Patel, Jayshil J', 'Pfeifer, Kurt']","Patel, Jayshil J",Medical College of Wisconsin,"Pfeifer, Kurt",Medical College of Wisconsin,,3,,JAMA,2017 Aug 15,
Alveolar Recruitment Strategies After Cardiac Surgery.,"['Li, Guohui', 'Shi, Xueyin']","Li, Guohui",Huazhong University of Science and Technology,"Shi, Xueyin",Shanghai Jiao Tong University,,17,,JAMA,2017 Aug 15,
Prenatal Antidepressant Use and Autism Spectrum Disorder.,"['Singal, Deepa', 'Chateau, Dan', 'Brownell, Marni']","Singal, Deepa",University of Manitoba,"Brownell, Marni",University of Manitoba,,22,,JAMA,2017 Aug 15,
Public Response to a Proposed Field Trial of Genetically Engineered Mosquitoes in the United States.,"['Bloss, Cinnamon S', 'Stoler, Justin', 'Brouwer, Kimberly C', 'Bietz, Matthew', 'Cheung, Cynthia']","Bloss, Cinnamon S",National Institute of Mental Health,"Cheung, Cynthia",NASA Goddard Space Flight Center,,5,,JAMA,2017 Aug 15,
Politics and the Medical Profession.,,,,,,,,,JAMA,2017 Aug 15,
Reforming Medicaid.,"['Slavitt, Andy', 'Wilensky, Gail']","Slavitt, Andy",Centers for Medicare and Medicaid Services,"Wilensky, Gail",Project HOPE,,19,,JAMA,2017 Aug 15,
"New Leukemia, Lymphoma Diagnostic.","['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Aug 15,
Sickle Cell Therapy Drought Ends.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Aug 15,
Faster Orphan Drug Decisions.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Aug 15,
Patient Decision Aids to Engage Adults in Treatment or Screening Decisions.,"['Stacey, Dawn', 'Legare, France', 'Lewis, Krystina B']","Stacey, Dawn","University of Ottawa, Canada","Lewis, Krystina B","University of Ottawa, Canada",,6,"Clinical Question: Are patient decision aids (PtDAs) associated with (1) improved decision quality defined as a decision informed by the evidence and a value-based decision; (2) improved decision-making processes defined as feeling informed, defining clear values related to the decision, and active participation in making the decision; and (3) better patient and health system outcomes compared with either usual care or a non-PtDA intervention? Bottom Line: Patient decision aids are associated with improved decision quality and decision-making processes without worse patient or health system outcomes.",JAMA,2017 Aug 15,
Shared Decision Making and Improving Health Care: The Answer Is Not In.,"['Montori, Victor M', 'Kunneman, Marleen', 'Brito, Juan P']","Montori, Victor M",Mayo Clinic,"Brito, Juan P",Mayo Clinic,,22,,JAMA,2017 Aug 15,
Balancing the Need for Access With the Imperative for Empirical Evidence of Benefit and Risk.,"['Califf, Robert M']","Califf, Robert M",Duke University School of Medicine,"Califf, Robert M",Duke University School of Medicine,,175,,JAMA,2017 Aug 15,
Incomplete Financial Disclosure.,,,,,,,,,JAMA,2017 Aug 15,
Considerations on the Off-label Use of Ketamine as a Treatment for Mood Disorders.,"['Wilkinson, Samuel T', 'Sanacora, Gerard']","Wilkinson, Samuel T",Yale University School of Medicine,"Sanacora, Gerard",Yale University School of Medicine,,49,,JAMA,2017 Sep 5,
Gene Editing Using CRISPR: Why the Excitement?,"['Komaroff, Anthony L']","Komaroff, Anthony L",Brigham and Women's Hospital,"Komaroff, Anthony L",Brigham and Women's Hospital,,51,,JAMA,2017 Aug 22,
Walking Study: Women Outpace Men.,,,,,,,,,JAMA,2017 Aug 8,
Newborn Infection Linked With Placenta Consumption.,,,,,,,,,JAMA,2017 Aug 8,
Prisoner of My Preconceptions.,"['Chertoff, Jason']","Chertoff, Jason",University of Florida,"Chertoff, Jason",University of Florida,,5,,JAMA,2017 Aug 8,
Sudden Vision Loss.,"['Muth, Christopher C']","Muth, Christopher C",Journal of American Medical Association,"Muth, Christopher C",Journal of American Medical Association,,2,,JAMA,2017 Aug 8,
Effect of Levosimendan on Low Cardiac Output Syndrome in Patients With Low Ejection Fraction Undergoing Coronary Artery Bypass Grafting With Cardiopulmonary Bypass: The LICORN Randomized Clinical Trial.,"['Cholley, Bernard', 'Caruba, Thibaut', 'Grosjean, Sandrine', 'Amour, Julien', 'Ouattara, Alexandre', 'Villacorta, Judith', 'Miguet, Bertrand', 'Guinet, Patrick', 'Levy, Francois', 'Squara, Pierre', 'Ait Hamou, Nora', 'Carillion, Aude', 'Boyer, Julie', 'Boughenou, Marie-Fazia', 'Rosier, Sebastien', 'Robin, Emmanuel', 'Radutoiu, Mihail', 'Durand, Michel', 'Guidon, Catherine', 'Desebbe, Olivier', 'Charles-Nelson, Anais', 'Menasche, Philippe', 'Rozec, Bertrand', 'Girard, Claude', 'Fellahi, Jean-Luc', 'Pirracchio, Romain', 'Chatellier, Gilles']","Cholley, Bernard",Universite Paris Descartes,"Chatellier, Gilles",Universite Paris Descartes,,61,"Importance: Low cardiac output syndrome after cardiac surgery is associated with high morbidity and mortality in patients with impaired left ventricular function. Objective: To assess the ability of preoperative levosimendan to prevent postoperative low cardiac output syndrome. Design, Setting, and Participants: Randomized, double-blind, placebo-controlled trial conducted in 13 French cardiac surgical centers. Patients with a left ventricular ejection fraction less than or equal to 40% and scheduled for isolated or combined coronary artery bypass grafting with cardiopulmonary bypass were enrolled from June 2013 until May 2015 and followed during 6 months (last follow-up, November 30, 2015). Interventions: Patients were assigned to a 24-hour infusion of levosimendan 0.1 microg/kg/min (n = 167) or placebo (n = 168) initiated after anesthetic induction. Main Outcomes and Measures: Composite end point reflecting low cardiac output syndrome with need for a catecholamine infusion 48 hours after study drug initiation, need for a left ventricular mechanical assist device or failure to wean from it at 96 hours after study drug initiation when the device was inserted preoperatively, or need for renal replacement therapy at any time postoperatively. It was hypothesized that levosimendan would reduce the incidence of this composite end point by 15% in comparison with placebo. Results: Among 336 randomized patients (mean age, 68 years; 16% women), 333 completed the trial. The primary end point occurred in 87 patients (52%) in the levosimendan group and 101 patients (61%) in the placebo group (absolute risk difference taking into account center effect, -7% [95% CI, -17% to 3%]; P = .15). Predefined subgroup analyses found no interaction with ejection fraction less than 30%, type of surgery, and preoperative use of beta-blockers, intra-aortic balloon pump, or catecholamines. The prevalence of hypotension (57% vs 48%), atrial fibrillation (50% vs 40%), and other adverse events did not significantly differ between levosimendan and placebo. Conclusions and Relevance: Among patients with low ejection fraction who were undergoing coronary artery bypass grafting with cardiopulmonary bypass, levosimendan compared with placebo did not result in a significant difference in the composite end point of prolonged catecholamine infusion, use of left ventricular mechanical assist device, or renal replacement therapy. These findings do not support the use of levosimendan for this indication. Trial Registration: EudraCT Number: 2012-000232-25; clinicaltrials.gov Identifier: NCT02184819.",JAMA,2017 Aug 8,
